id,title,year,authors,venue,entityUrl
34,Managing Web data,1999,Dan Suciu,International Conference on Management of Data,304233
35,"O-O, what's happening to DB2?",1999,"M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data,304234
36,Hypertext databases and data mining,1999,Soumen Chakrabarti,International Conference on Management of Data,304231
37,Clustering methods for large databases: from the past to the future,1999,"Alexander Hinneburg, Daniel A. Keim",International Conference on Management of Data,304232
38,Petabyte databases,1999,Dirk D&#252;llmann,International Conference on Management of Data,304229
39,A database perspective on Lotus Domino/Notes,1999,C. Mohan,International Conference on Management of Data,304230
40,Microsoft site server (commerce ed.): Talk-slides available at the conference,1999,Bassel Ojjeh,International Conference on Management of Data,304245
41,E-commerce database issues and experience: (talk-slides available at at the conference),1999,Anand Rajaraman,International Conference on Management of Data,304246
42,Merge replication in Microsoft's SQL server 7.0,1999,Brad Hammond,International Conference on Management of Data,304243
43,In-memory data management for consumer transactions the timesten approach,1999,CORPORATE TimesTen Team,International Conference on Management of Data,304244
44,EMC information sharing: direct access to MVS data from UNIX and NT,1999,Walt Kohler,International Conference on Management of Data,304241
45,Daytona and the foruth-generation language cymbal,1999,Rick Greer,International Conference on Management of Data,304242
46,DataBlitz storage manager: main-memory database performance for critical applications,1999,"J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar",International Conference on Management of Data,304239
47,Indexing medium-dimensionality data in Oracle,1999,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",International Conference on Management of Data,304240
48,Storing semistructured data with STORED,1999,"Alin Deutsch, Mary Fernandez, Dan Suciu",International Conference on Management of Data,304220
49,Efficient geometry-based similarity search of 3D spatial databases,1999,Daniel A. Keim,International Conference on Management of Data,304219
50,A new method for similarity indexing of market basket data,1999,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",International Conference on Management of Data,304218
51,WALRUS: a similarity retrieval algorithm for image databases,1999,"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,304217
52,Shrinking the warehouse update Window,1999,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",International Conference on Management of Data,304216
53,DynaMat: a dynamic view management system for data warehouses,1999,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data,304215
54,Bottom-up computation of sparse and Iceberg CUBE,1999,"Kevin Beyer, Raghu Ramakrishnan",International Conference on Management of Data,304214
55,Client-site query extensions,1999,"Tobias Mayr, Praveen Seshadri",International Conference on Management of Data,304213
56,Data management issues in electronic commerce,1999,M. Tamer &#214;zsu,International Conference on Management of Data,304228
57,"Of crawlers, portals, mice, and men: is there more to mining the Web?",1999,"Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,304227
58,"Honey, I shrunk the database: footprint, mobility, and beyond",1999,Praveen Seshadri,International Conference on Management of Data,304226
59,A layered architecture for querying dynamic Web content,1999,"Hasan Davulcu, Juliana Freire, Michael Kifer, I. V. Ramakrishnan",International Conference on Management of Data,304225
60,Automatic discovery of language models for text databases,1999,"Jamie Callan, Margaret Connell, Aiqun Du",International Conference on Management of Data,304224
61,Record-boundary discovery in Web documents,1999,"D. W. Embley, Y. Jiang, Y.-K. Ng",International Conference on Management of Data,304223
62,Query rewriting for semistructured data,1999,"Yannis Papakonstantinou, Vasilis Vassalos",International Conference on Management of Data,304222
63,Computing capabilities of mediators,1999,"Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",International Conference on Management of Data,304221
64,High speed on-line backup when using logical log operations,2000,David B. Lomet,International Conference on Management of Data,335378
65,Efficient resumption of interrupted warehouse loads,2000,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",International Conference on Management of Data,335379
66,On-line reorganization in object databases,2000,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data,335381
67,Finding generalized projected clusters in high dimensional spaces,2000,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,335383
68,Density biased sampling: an improved method for data mining and clustering,2000,"Christopher R. Palmer, Christos Faloutsos",International Conference on Management of Data,335384
69,LOF: identifying density-based local outliers,2000,"Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246;rg Sander",International Conference on Management of Data,335388
70,Answering complex SQL queries using automatic summary tables,2000,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",International Conference on Management of Data,335390
71,Synchronizing a database to improve freshness,2000,"Junghoo Cho, Hector Garcia-Molina",International Conference on Management of Data,335391
72,How to roll a join: asynchronous incremental view maintenance,2000,"Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane",International Conference on Management of Data,335393
73,On wrapping query languages and efficient XML integration,2000,"Vassilis Christophides, Sophie Cluet, J&#233;r&#466;me Sim&#232;on",International Conference on Management of Data,335395
74,XMill: an efficient compressor for XML data,2000,"Hartmut Liefke, Dan Suciu",International Conference on Management of Data,335405
75,XTRACT: a system for extracting document type descriptors from XML documents,2000,"Minos Garofalakis, Aristides Gionis, Rajeev Rastogi, S. Seshadri, Kyuseok Shim",International Conference on Management of Data,335409
76,Spatial join selectivity using power laws,2000,"Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr.",International Conference on Management of Data,335412
77,MOCHA: a self-extensible database middleware system for distributed data sources,2000,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos",International Conference on Management of Data,335413
78,Closest pair queries in spatial databases,2000,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",International Conference on Management of Data,335414
79,Influence sets based on reverse nearest neighbor queries,2000,"Flip Korn, S. Muthukrishnan",International Conference on Management of Data,335415
80,Security of random data perturbation methods,1999,"Krishnamurty Muralidhar, Rathindra Sarathy",ACM Transactions on Database Systems (TODS),331986
81,Improving database design through the analysis of relationships,1999,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS),331984
82,The SIFT information dissemination system,1999,"Tak W. Yan, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS),331992
83,An ontological analysis of the relationship construct in conceptual modeling,1999,"Yair Wand, Veda C. Storey, Ron Weber",ACM Transactions on Database Systems (TODS),331989
84,Chorochronos: a research network for spatiotemporal database systems,1999,"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",ACM SIGMOD Record,333609
85,Engineering federated information systems: report of EEFIS '99 workshop,1999,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",ACM SIGMOD Record,333608
86,First-class views: a key to user-centered computing,1999,"Arnon Rosenthal, Edward Sciore",ACM SIGMOD Record,333611
87,Cost estimation of user-defined methods in object-relational database systems,1999,"Jihad Boulos, Kinji Ono",ACM SIGMOD Record,333610
88,Distributed transactions in practice,1999,"Prabhu Ram, Lyman Do, Pamela Drew",ACM SIGMOD Record,333613
89,On mutli-resolution document transmission in mobile Web,1999,"Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si",ACM SIGMOD Record,333612
90,An overview and classification of mediated query systems,1999,"Ruxandra Domenig, Klaus R. Dittrich",ACM SIGMOD Record,333615
91,"A distributed scientific data archive using the Web, XML and SQL/MED",1999,"Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",ACM SIGMOD Record,333614
92,Mining frequent patterns without candidate generation,2000,"Jiawei Han, Jian Pei, Yiwen Yin",International Conference on Management of Data,335372
93,Database research at the University of Oklahoma,1999,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",ACM SIGMOD Record,333616
94,Turbo-charging vertical mining of large databases,2000,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",International Conference on Management of Data,335376
95,Data mining on an OLTP system (nearly) for free,2000,"Erik Riedel, Christos Faloutsos, Gregory R. Ganger, David F. Nagle",International Conference on Management of Data,335375
96,A study on data point search for HG-trees,1999,"Joseph Kuan, Paul Lewis",ACM SIGMOD Record,310065
97,The OASIS multidatabase prototype,1999,"Mark Roantree, John Murphy, Wilhelm Hasselbring",ACM SIGMOD Record,310066
98,Efficient materialization and use of views in data warehouses,1999,"M&#225;rcio Farias de Souza, Marcus Costa Sampaio",ACM SIGMOD Record,310063
99,Design principles for data-intensive Web sites,1999,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",ACM SIGMOD Record,310064
100,"SQL: 1999, formerly known as SQL3",1999,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record,310075
101,Broadcast protocols to support efficient retrieval from databases by mobile users,1999,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",ACM Transactions on Database Systems (TODS),310710
102,Video anywhere: a system for searching and managing distributed heterogeneous video assets,1999,"Amit Sheth, Clemens Bertram, Kshitij Shah",ACM SIGMOD Record,310067
103,NSF workshop on industrial/academic cooperation in database systems,1999,"Mike Carey, Len Seligman",ACM SIGMOD Record,310071
104,Optimization of queries with user-defined predicates,1999,"Surajit Chaudhuri, Kyuseok Shim",ACM Transactions on Database Systems (TODS),320249
105,GlOSS: text-source discovery over the Internet,1999,"Luis Gravano, H&#233;ctor Garc&#237;a-Molina, Anthony Tomasic",ACM Transactions on Database Systems (TODS),320252
106,Database design for incomplete relations,1999,"Mark Levene, George Loizou",ACM Transactions on Database Systems (TODS),310712
107,Temporal FDs on complex objects,1999,Jef Wijsen,ACM Transactions on Database Systems (TODS),310715
108,Indexing large metric spaces for similarity search queries,1999,"Tolga Bozkaya, Meral Ozsoyoglu",ACM Transactions on Database Systems (TODS),328959
109,Specification and implementation of exceptions in workflow management systems,1999,"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",ACM Transactions on Database Systems (TODS),328996
110,Distance browsing in spatial databases,1999,"G&#237;sli R. Hjaltason, Hanan Samet",ACM Transactions on Database Systems (TODS),320255
111,Type-checking OQL queries in the ODMG type systems,1999,Suad Alag&#237;c,ACM Transactions on Database Systems (TODS),328943
112,The middleware muddle,1998,David Ritter,ACM SIGMOD Record,306141
113,The Asilomar report on database research,1998,"Phil Bernstein, Michael Brodie, Stefano Ceri, David DeWitt, Mike Franklin, Hector Garcia-Molina, Jim Gray, Jerry Held, Joe Hellerstein, H. V. Jagadish, Michael Lesk, Dave Maier, Jeff Naughton, Hamid Pirahesh, Mike Stonebraker, Jeff Ullman",ACM SIGMOD Record,306137
114,Electronic market: the roadmap for university libraries and members to survive in the information jungle,1998,"Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann",ACM SIGMOD Record,306133
115,An anonymous electronic commerce scheme with an off-line authority and untrusted agents,1998,"Josep Domingo-Ferrer, Jordi Herrera-Joancomart&#237;",ACM SIGMOD Record,306129
116,Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,1999,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",ACM SIGMOD Record,309870
117,Semantic integration of environmental models for application to global information systems and decision-making,1999,D. Scott Mackay,ACM SIGMOD Record,309852
118,Semantic interoperability in global information systems,1999,"A. M. Ouksel, A. Sheth",ACM SIGMOD Record,309849
119,"SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)",1998,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record,306144
120,Dynamic service matchmaking among agents in open information environments,1999,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",ACM SIGMOD Record,309895
121,Contextualizing the information space in federated digital libraries,1999,"M. P. Papazoglou, J. Hoppenbrouwers",ACM SIGMOD Record,309886
122,Semantic video indexing: approach and issues,1999,Arun Hampapur,ACM SIGMOD Record,309883
123,Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,1999,"Ken Smith, Leo Obrst",ACM SIGMOD Record,309878
124,Report on the 13th Brazilian symposium on database systems (SBBD'98),1999,"Mario A. Nascimento, Claudia Bauzer Medeiros",ACM SIGMOD Record,310062
125,Semantic interoperability in information services: experiencing with CoopWARE,1999,Avigdor Gal,ACM SIGMOD Record,310061
126,Agent-based semantic interoperability in infosleuth,1999,"Jerry Fowler, Brad Perry, Marian Nodine, Bruce Bargmeyer",ACM SIGMOD Record,310060
127,Semantic integration of semistructured and structured data sources,1999,"S. Bergamaschi, S. Castano, M. Vincini",ACM SIGMOD Record,309897
128,Keynote Address,1995,Robert S. Epstein,International Conference on Management of Data,277955
129,Keynote address,1995,Larry J. Ellison,International Conference on Management of Data,277954
130,Object normal forms and dependency constraints for object-oriented schemata,1997,"Zahir Tari, John Stokes, Stefano Spaccapietra",ACM Transactions on Database Systems (TODS),278247
131,Database design with common sense business reasoning and learning,1997,"Veda C. Storey, Roger H. L. Chiang, Debabrata Dey, Robert C. Goldstein, Shankar Sudaresan",ACM Transactions on Database Systems (TODS),278246
132,Inverted files versus signature files for text indexing,1998,"Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao",ACM Transactions on Database Systems (TODS),277632
133,Ensuring consistency in multidatabases by preserving two-level serializability,1998,"Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz",ACM Transactions on Database Systems (TODS),277629
134,Towards a theory of cost management for digital libraries and electronic commerce,1998,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",ACM Transactions on Database Systems (TODS),277641
135,Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,1998,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS),277639
136,A protein patent query system powered by Kleisli,1998,"Jing Chen, Limsoon Wong, Louxin Zhang",International Conference on Management of Data,276392
137,DTL's DataSpot: database exploration as easy as browsing the Web...,1998,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data,276391
138,Multiview access protocols for large-scale replication,1998,"Xiangning Liu, Abdelsalam Helal, Weimin Du",ACM Transactions on Database Systems (TODS),277628
139,Optimization techniques for queries with expensive methods,1998,Joseph M. Hellerstein,ACM Transactions on Database Systems (TODS),277627
140,MultiMediaMiner: a system prototype for multimedia data mining,1998,"Osmar R. Za&#239;ane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",International Conference on Management of Data,276388
141,Xmas: an extensible main-memory storage system for high-performance applications,1998,"Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha",International Conference on Management of Data,276387
142,The IDEA Web lab,1998,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",International Conference on Management of Data,276390
143,SuperSQL: an extended SQL for database publishing and presentation,1998,Motomichi Toyama,International Conference on Management of Data,276389
144,CONTROL: continuous output and navigation technology with refinement on-line,1998,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",International Conference on Management of Data,276383
145,AMDB: an access method debugging tool,1998,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",International Conference on Management of Data,276384
146,User-oriented smart-cache for the Web: what you seek is what you get!,1998,"Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar",International Conference on Management of Data,276385
147,The multidimensional database system RasDaMan,1998,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data,276386
148,FlowBack: providing backward recovery for workflow management systems,1998,"Bartek Kiepuszewski, Ralf Muhlberger, Maria E. Orlowska",International Conference on Management of Data,276379
149,Providing database-like access to the Web using queries based on textual similarity,1998,William W. Cohen,International Conference on Management of Data,276380
150,Ariadne: a system for constructing mediators for Internet sources,1998,"Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada",International Conference on Management of Data,276381
151,Capability based mediation in TSIMMIS,1998,"Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti",International Conference on Management of Data,276382
152,The Araneus Web-based management system,1998,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",International Conference on Management of Data,276375
153,CQ: a personalized update monitoring toolkit,1998,"Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu",International Conference on Management of Data,276376
154,DataSplash,1998,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",International Conference on Management of Data,276377
155,Microsoft index turning wizard for SQL Server 7.0,1998,"Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,276378
156,Olympic records for data at the 1998 Nagano games,1998,Edwin R. Lassettre,International Conference on Management of Data,276371
157,Delivering high availability for Inktomi search engines,1998,Eric A. Brewer,International Conference on Management of Data,276372
158,Microsoft.com: a high-scale data management and transaction processing solution,1998,Sherri Kennamer,International Conference on Management of Data,276373
159,Free parallel data mining,1998,"Bin Li, Dennis Shasha",International Conference on Management of Data,276374
160,Real business processing meets the Web,1998,James Chong,International Conference on Management of Data,276370
161,"Developing a high traffic, read-only Web site",1998,"John Nauman, Ray Suorsa",International Conference on Management of Data,276369
162,FileNet integrated document management database usage and issues,1998,Daniel S. Whelan,International Conference on Management of Data,276368
163,About Quark Digital Media System,1998,Kamar Aulakh,International Conference on Management of Data,276367
164,"50,000 users on an Oracle8 universal server database",1998,"Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee",International Conference on Management of Data,276366
165,Oracle Rdb's record caching model,1998,"Richard Anderson, Gopalan Arun, Richard Frank",International Conference on Management of Data,276365
166,A data mining application: customer retention at the Port of Singapore Authority (PSA),1998,"KianSing Ng, Huan Liu, HweeBong Kwah",International Conference on Management of Data,276364
167,Transactional publish/subscribe: the proactive multicast of database changes (abstract),1998,Arvola Chan,International Conference on Management of Data,276362
168,The PointCast network (abstract),1998,"Satish Ramakrishnan, Vibha Dayal",International Conference on Management of Data,276361
169,Data in your face: push technology in perspective,1998,"Michael Franklin, Stan Zdonik",International Conference on Management of Data,276360
170,"Ubiquitous, self-tuning, scalable servers",1998,Peter Spiro,International Conference on Management of Data,276359
171,Database systems management and Oracle8,1998,C. Gregory Doherty,International Conference on Management of Data,276358
172,Managing large systems with DB2 UDB,1998,Chris Eaton,International Conference on Management of Data,276357
173,SQL open heterogeneous data access,1998,"Berthold Reinwald, Hamid Pirahesh",International Conference on Management of Data,276356
174,Enterprise Java platform data access,1998,"Seth White, Rick Cattell, Shel Finkelstein",International Conference on Management of Data,276355
175,Microsoft universal data access platform,1998,"Jos&#233; A. Blakeley, Michael J. Pizzo",International Conference on Management of Data,276354
176,Java and relational databases (tutorial): SQLJ,1998,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",International Conference on Management of Data,276352
177,High-dimensional index structures database support for next decade's applications (tutorial),1998,"Stefan Berchtold, Daniel A. Keim",International Conference on Management of Data,276353
178,Electronic commerce: tutorial,1998,"Nabil R. Adam, Yelena Yesha",International Conference on Management of Data,276350
179,SAP R/3 (tutorial): a database application system,1998,"Alfons Kemper, Donald Kossmann, Florian Matthes",International Conference on Management of Data,276351
180,Are we working on the right problems? (panel),1998,Michael Stonebraker,International Conference on Management of Data,276348
181,Next generation database systems won't work without semantics! (panel),1998,John Mylopoulos,International Conference on Management of Data,276349
182,Memory management during run generation in external sorting,1998,"Per-&#197;ke Larson, Goetz Graefe",International Conference on Management of Data,276346
183,"Replication, consistency, and practicality: are these mutually exclusive?",1998,"Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool",International Conference on Management of Data,276347
184,Wavelet-based histograms for selectivity estimation,1998,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",International Conference on Management of Data,276344
185,Efficient transparent application recovery in client-server information systems,1998,"David Lomet, Gerhard Weikum",International Conference on Management of Data,276345
186,Approximate medians and other quantiles in one pass and with limited memory,1998,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,276342
187,Random sampling for histogram construction: how much is enough?,1998,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data,276343
188,A multi-similarity algebra,1998,"S. Adali, P. Bonatti, M. L. Sapino, V. S. Subrahmanian",International Conference on Management of Data,276340
189,Catching the boat with Strudel: experiences with a Web-site management system,1998,"Mary Fern&#225;ndez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",International Conference on Management of Data,276341
190,On parallel processing of aggregate and scalar functions in object-relational DBMS,1998,"Michael Jaedicke, Bernhard Mitschang",International Conference on Management of Data,276338
191,Secure and portable database extensibility,1998,"Michael Godfrey, Tobias Mayr, Praveen Seshadri, Thorsten von Eicken",International Conference on Management of Data,276339
192,On random sampling over joins,1999,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data,304206
193,Random sampling techniques for space efficient online computation of order statistics of large datasets,1999,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,304204
194,Ripple joins for online aggregation,1999,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data,304208
195,Join synopses for approximate query answering,1999,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,304207
196,Query optimization in the presence of limited access patterns,1999,"Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu",International Conference on Management of Data,304210
197,An adaptive query execution system for data integration,1999,"Zachary G. Ives, Daniela Florescu, Marc Friedman, Alon Levy, Daniel S. Weld",International Conference on Management of Data,304209
198,Mind your vocabulary: query mapping across heterogeneous information sources,1999,"Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina",International Conference on Management of Data,304212
