id,entityId1,entityId2
320,1820,1653
321,2533,124
322,2377,484
323,148,1470
324,100,1058
325,1390,783
326,1722,1599
327,243,1778
328,2414,1508
329,945,859
330,1419,2173
331,1693,217
332,601,438
333,850,560
334,1393,241
335,396,1377
336,2235,447
337,27,1418
338,1285,1473
339,2092,2054
340,1868,2238
341,1264,1151
342,2375,1116
343,720,1248
344,1474,2178
345,1551,1904
346,146,1812
347,1175,355
348,1939,449
349,1117,1074
350,1737,830
351,1402,2005
352,1841,397
353,1508,1404
354,406,718
355,437,185
356,1694,313
357,22,1862
358,1981,1067
359,1362,1232
360,2172,1598
361,932,62
362,2462,2107
363,425,1187
364,2367,1805
365,1506,1575
366,1234,1641
367,582,446
368,398,1396
369,2239,2176
370,2219,1807
371,1604,1639
372,2264,2170
373,923,821
374,359,547
375,1203,2158
376,987,1675
377,625,978
378,1698,6
379,2115,190
380,2087,491
381,376,1165
382,1384,1495
383,1223,496
384,710,94
385,2393,1690
386,16,352
387,1268,863
388,1036,1711
389,1107,1939
390,1296,609
391,957,2101
392,705,513
393,873,883
394,1425,2196
395,1350,2257
396,460,369
397,71,1926
398,841,1517
399,1316,989
400,1933,990
401,169,1987
402,509,403
403,2299,1326
404,1892,304
405,2512,30
406,2426,1038
407,268,1964
408,783,2239
409,765,1672
410,2517,1674
411,1664,782
412,1326,2230
413,1672,122
414,113,507
415,2207,779
416,61,728
417,373,1447
418,2129,1114
419,1108,1881
420,1744,308
421,433,565
422,1622,2242
423,2113,391
424,166,209
425,1747,2105
426,2387,191
427,191,183
428,1690,695
429,1111,1645
430,358,665
431,1368,803
432,1098,689
433,1219,882
434,886,1899
435,440,2
436,2486,171
437,524,1224
438,194,1995
439,1894,2204
440,266,118
441,1858,1095
442,60,832
443,2255,918
444,1992,227
445,1302,2194
446,1343,844
447,2588,1956
448,2090,289
449,1954,1323
450,2220,1794
451,2600,956
452,53,1433
453,2359,480
454,2373,1389
455,2011,692
456,1644,459
457,1560,1267
458,504,871
459,217,2144
460,902,610
461,1270,766
462,165,341
463,822,1085
464,2488,48
465,660,2249
466,1344,792
467,2260,523
468,544,1658
469,142,189
470,7,1179
471,2294,1795
472,2021,1955
473,2156,961
474,1440,1031
475,1180,56
476,2568,1611
477,1372,502
478,50,1713
479,2247,1608
480,1683,1341
481,368,1921
482,2580,616
483,1548,2291
484,853,602
485,1354,2009
486,908,136
487,1010,1890
488,1649,74
489,872,1057
490,1598,221
491,927,590
492,4,1450
493,286,548
494,2521,1435
495,572,1385
496,612,139
497,587,144
498,256,1020
499,584,396
500,1353,84
501,977,544
502,2378,1028
503,2154,1162
504,1962,867
505,143,301
506,781,597
507,1807,1453
508,1706,1649
509,329,1251
510,2295,1914
511,371,1863
512,2560,404
513,271,1975
514,730,741
515,1574,326
516,87,866
517,1357,1950
518,1214,1536
519,2159,928
520,1920,291
521,1901,1867
522,80,1461
523,2348,1636
524,2364,307
525,31,1434
526,2022,26
527,1169,1195
528,468,2038
529,1720,521
530,1218,1227
531,1919,399
532,2550,1272
533,2553,1023
534,1132,181
535,535,584
536,1026,794
537,2608,555
538,633,647
539,2390,2273
540,430,1113
541,1821,1345
542,386,669
543,2150,1718
544,1715,959
545,2308,889
546,1815,848
547,1255,2278
548,2256,1115
549,78,1667
550,1217,1340
551,2296,1898
552,2349,1594
553,919,1507
554,2008,1236
555,44,406
556,290,470
557,2513,278
558,1467,1084
559,188,749
560,1157,2244
561,1016,1663
562,2358,869
563,1163,1752
564,1359,1868
565,2465,182
566,426,1485
567,2053,1617
568,279,1401
569,1812,1138
570,2316,265
571,2498,1543
572,2464,269
573,491,193
574,861,2253
575,2497,1630
576,2404,1163
577,2051,1790
578,1963,901
579,375,1635
580,1471,777
581,2545,1753
582,1184,25
583,1275,671
584,716,2012
585,630,964
586,479,1208
587,639,218
588,2315,379
589,952,752
590,2132,1128
591,1922,2172
592,605,893
593,1140,1547
594,1634,1506
595,2075,1765
596,2432,805
597,2285,725
598,1602,69
599,862,52
600,1749,160
601,409,788
602,1056,338
603,989,1809
604,2331,1014
605,1778,1856
606,1697,390
607,798,1281
608,888,2006
609,2039,681
610,2516,2050
611,2221,1965
612,492,2112
613,1885,1185
614,1502,206
615,249,1806
616,2194,116
617,1196,1030
618,1109,65
619,1038,1859
620,2583,598
621,658,636
622,1154,430
623,889,1945
624,1877,1865
625,1382,1994
626,1699,257
627,743,1785
628,2328,1303
629,2332,975
630,1629,1978
631,2319,2052
632,1535,1589
633,2173,1889
634,1258,11
635,1008,282
636,2224,1758
637,1294,1134
638,2186,828
639,563,370
640,1090,1692
641,507,932
642,992,1637
643,1380,2202
644,300,1742
645,269,219
646,267,384
647,2040,687
648,602,1257
649,1048,1107
650,2240,475
651,2436,600
652,1158,175
653,1876,2030
654,2487,469
655,2418,2100
656,2389,417
657,617,35
658,1839,1009
659,702,1173
660,697,1590
661,649,1483
662,393,2250
663,2344,63
664,900,1131
665,1042,1638
666,2322,1892
667,1844,605
668,2081,1419
669,995,1445
670,1594,880
671,912,145
672,117,596
673,2061,1127
674,1809,1573
675,2408,1007
676,97,309
677,589,432
678,2546,1846
679,1678,161
680,239,813
681,1666,1158
682,1714,1270
683,667,2152
684,193,536
685,37,1199
686,829,1001
687,2547,1769
688,2205,1482
689,2551,1436
690,1358,2157
691,1361,1906
692,2058,1399
693,1421,1029
694,690,262
695,2298,1963
696,1956,1677
697,1281,364
698,2266,528
699,533,1008
700,722,1710
701,1952,2018
702,2543,2121
703,2456,1154
704,2355,1351
705,1273,1045
706,1412,1793
707,1754,2080
708,677,1366
709,2114,879
710,1856,1820
711,543,204
712,741,157
713,180,1668
714,2452,1511
715,2215,701
716,1235,126
717,2057,1533
718,1861,1421
719,1860,1504
720,42,845
721,1171,1344
722,1283,240
723,1363,1798
724,2369,220
725,1479,366
726,1679,151
727,1466,1444
728,442,423
729,48,360
730,733,853
731,718,2104
732,487,801
733,1021,1534
734,2552,1443
735,1278,688
736,1229,664
737,972,1513
738,2268,441
739,792,71
740,976,1186
741,1087,166
742,821,1762
743,936,412
744,436,951
745,669,2099
746,1119,1614
747,421,2206
748,916,2083
749,1556,2214
750,787,508
751,2248,2126
752,1237,22
753,742,152
754,1212,2103
755,1480,340
756,1408,2217
757,455,1703
758,73,311
759,1365,1873
760,516,735
761,2140,781
762,682,1218
763,1784,1989
764,2177,1817
765,2024,425
766,1064,315
767,1927,2085
768,2071,627
769,2227,2091
770,1356,332
771,2412,1000
772,1488,1991
773,753,1229
774,642,452
775,104,2174
776,62,1240
777,1808,1979
778,666,588
779,1153,798
780,2558,1167
781,2581,1390
782,1005,795
783,1609,2116
784,153,2211
785,2089,934
786,1383,394
787,1253,696
788,1054,1155
789,1513,1891
790,594,2143
791,2582,1305
792,1515,1730
793,552,1538
794,1603,645
795,2510,1065
796,2537,625
797,809,1015
798,331,1701
799,996,1552
800,1842,1293
801,1274,1262
802,372,93
803,9,1885
804,2351,1981
805,696,1875
806,2532,1374
807,1814,1496
808,703,1297
809,2229,1953
810,830,1264
811,569,130
812,1608,247
813,1514,1837
814,13,1223
815,413,1129
816,2272,368
817,1945,611
818,2277,2063
819,2371,343
820,1630,2180
821,672,114
822,2410,1202
823,2076,2032
824,1490,1851
825,2078,86
826,1006,727
827,620,339
828,332,1643
829,1002,1060
830,564,897
831,1617,1488
832,2073,2284
833,18,1164
834,876,1549
835,999,1312
836,1498,1203
837,1661,1940
838,497,2022
839,1001,1498
840,986,626
841,2182,1432
842,2534,1246
843,586,1062
844,1063,105
845,363,1214
846,2470,342
847,2576,1500
848,2291,936
849,2210,1440
850,1188,2024
851,1207,802
852,2263,1140
853,1298,1086
854,70,963
855,1221,1616
856,2233,1304
857,272,585
858,967,2219
859,2589,431
860,1660,72
861,678,1629
862,466,510
863,2286,1359
864,1139,229
865,1047,1437
866,1190,2221
867,2301,2096
868,1057,613
869,514,985
870,1373,1294
871,1403,567
872,459,1459
873,530,1633
874,1936,1386
875,1802,579
876,2567,503
877,2281,1426
878,423,357
879,1066,2210
880,698,1745
881,1831,2279
882,299,335
883,51,2200
884,264,1266
885,1071,1802
886,1789,1306
887,915,482
888,1322,1449
889,1646,894
890,1289,2212
891,1712,1845
892,306,1522
893,899,1814
894,1367,1815
895,1948,405
896,1409,443
897,2520,328
898,1189,1969
899,407,1696
900,29,2280
901,1186,2223
902,1855,296
903,196,712
904,2329,1563
905,956,1196
906,2120,769
907,1192,1731
908,2232,1787
909,2557,1368
910,2048,314
911,858,1139
912,1032,968
913,1145,1545
914,560,1302
915,2421,373
916,2098,268
917,319,824
918,1879,303
919,301,1968
920,1753,589
921,350,233
922,15,1132
923,417,887
924,1972,778
925,520,180
926,1414,58
927,1182,818
928,619,154
929,1395,1632
930,499,165
931,859,716
932,465,1003
933,1436,224
934,127,34
935,402,2135
936,975,1625
937,1338,1925
938,1164,329
939,1418,1720
940,2222,2282
941,969,133
942,691,622
943,1587,1738
944,370,700
945,1168,1990
946,1444,1673
947,652,1520
948,2160,1579
949,505,1788
950,1797,690
951,2504,1704
952,218,1036
953,1352,767
954,1971,886
955,2006,89
956,714,472
957,538,1042
958,374,383
959,806,1027
960,671,2290
961,1215,215
962,2187,1096
963,1141,149
964,278,164
965,2525,1721
966,2503,1789
967,162,1600
968,122,464
969,1033,919
970,314,1274
971,20,742
972,871,2081
973,2030,2208
974,1944,793
975,623,2188
976,1210,635
977,854,1156
978,1320,1684
979,2283,1688
980,951,1300
981,1759,2108
982,1982,2102
983,2573,1847
984,1568,1587
985,2425,1840
986,2336,1391
987,1040,353
988,177,8
989,1692,1596
990,2273,419
991,1291,2109
992,1451,761
993,1220,1801
994,1099,1666
995,506,1378
996,2374,234
997,2190,868
998,1351,1231
999,295,757
1000,473,23
1001,2340,1068
1002,1521,1398
1003,1142,1839
1004,326,294
1005,679,1655
1006,8,1759
1007,1011,790
1008,1882,112
1009,56,263
1010,2556,1657
1011,1978,479
1012,92,1375
1013,643,698
1014,1130,1241
1015,236,1714
1016,1765,1783
1017,1528,979
1018,1772,1207
1019,577,2087
1020,339,1361
1021,1428,1088
1022,2056,2209
1023,1829,577
1024,2549,2256
1025,2575,97
1026,799,53
1027,1085,892
1028,832,1412
1029,1929,471
1030,1046,37
1031,1614,2046
1032,528,2074
1033,1387,410
1034,281,2094
1035,288,1515
1036,1562,2274
1037,551,168
1038,1236,660
1039,747,287
1040,1045,131
1041,1621,1480
1042,2209,1827
1043,2271,776
1044,2611,1237
1045,1381,923
1046,537,1349
1047,2368,925
1048,1244,10
1049,58,147
1050,1616,1907
1051,2208,1922
1052,1718,1631
1053,1586,305
1054,893,478
1055,650,172
1056,1633,505
1057,725,2141
1058,2176,490
1059,1228,1353
1060,378,2276
1061,1371,1776
1062,1786,100
1063,700,132
1064,291,1313
1065,388,1460
1066,1044,258
1067,1135,906
1068,2402,2240
1069,1872,1174
1070,2505,1882
1071,205,276
1072,2307,1942
1073,2473,451
1074,1928,630
1075,2603,1947
1076,1146,5
1077,137,1831
1078,1415,2255
1079,1918,1469
1080,640,1050
1081,1867,1610
1082,2178,372
1083,2304,123
1084,973,4
1085,2440,1126
1086,1686,2268
1087,670,587
1088,412,1523
1089,960,1098
1090,1539,2193
1091,664,1094
1092,1150,1716
1093,1713,46
1094,72,1087
1095,603,2072
1096,2049,838
1097,1194,2177
1098,1637,2272
1099,179,407
1100,2386,1548
1101,315,1411
1102,2253,298
1103,1997,1066
1104,1167,325
1105,1908,266
1106,1457,835
1107,419,974
1108,19,1409
1109,2045,1188
1110,1895,1350
1111,405,2138
1112,1193,2270
1113,2431,1916
1114,59,2187
1115,111,1971
1116,2302,346
1117,1052,1693
1118,2399,489
1119,2427,2260
1120,656,1799
1121,379,214
1122,2442,1022
1123,947,2236
1124,719,684
1125,312,1699
1126,1746,1465
1127,1102,1669
1128,133,176
1129,108,2252
1130,120,1259
1131,1007,1370
1132,2001,786
1133,2590,1059
1134,555,2025
1135,2230,2265
1136,1555,947
1137,963,931
1138,171,1130
1139,1269,106
1140,1404,1193
1141,1762,158
1142,1346,1918
1143,428,285
1144,1993,1462
1145,1887,2078
1146,225,760
1147,1009,1226
1148,913,1004
1149,1565,135
1150,1202,1592
1151,1958,283
1152,23,1149
1153,2297,829
1154,1020,323
1155,1590,2164
1156,307,2161
1157,2435,1665
1158,610,1595
1159,553,2232
1160,276,651
1161,1104,1561
1162,2146,1091
1163,232,213
1164,178,606
1165,2037,1954
1166,467,1197
1167,47,1133
1168,1863,1952
1169,1518,1917
1170,2028,556
1171,1835,184
1172,1723,1336
1173,1813,2066
1174,109,150
1175,935,1171
1176,382,2058
1177,776,2076
1178,1975,858
1179,735,1403
1180,1242,279
1181,1435,628
1182,450,458
1183,1768,1732
1184,2131,225
1185,1619,1775
1186,2080,377
1187,1465,2262
1188,648,414
1189,839,998
1190,1086,917
1191,1475,1416
1192,1290,385
1193,2106,2281
1194,354,300
1195,1123,1949
1196,2420,797
1197,1517,2047
1198,1733,493
1199,680,1887
1200,1424,1540
1201,449,586
1202,1575,1314
1203,780,1811
1204,884,1358
1205,1416,2275
1206,736,1327
1207,206,246
1208,641,1043
1209,788,1111
1210,890,865
1211,399,658
1212,785,1329
1213,894,474
1214,1921,1287
1215,542,1035
1216,1588,437
1217,2246,1108
1218,2065,61
1219,2126,846
1220,1256,1357
1221,82,810
1222,2463,1546
1223,950,2183
1224,1447,2205
1225,1,1093
1226,259,2192
1227,1206,1728
1228,1034,1371
1229,1667,16
1230,1567,442
1231,1938,73
1232,1511,676
1233,1400,2019
1234,1174,2044
1235,1124,29
1236,1671,7
1237,1541,255
1238,2290,1555
1239,978,179
1240,843,850
1241,1267,454
1242,2012,375
1243,2079,666
1244,518,1180
1245,128,1099
1246,2117,1606
1247,2003,804
1248,484,223
1249,1374,1842
1250,17,1808
1251,1668,260
1252,2213,1835
1253,313,1816
1254,121,1687
1255,1178,1724
1256,1067,673
1257,711,1871
1258,844,775
1259,1198,2093
1260,86,499
1261,397,1016
1262,1470,1
1263,608,2229
1264,754,57
1265,2495,940
1266,1263,1112
1267,2327,572
1268,775,344
1269,2601,649
1270,790,1169
1271,2430,2245
1272,1126,199
1273,1524,1686
1274,869,734
1275,1859,807
1276,1232,1352
1277,1745,1754
1278,1410,1210
1279,1437,721
1280,381,281
1281,534,187
1282,845,702
1283,1456,1172
1284,613,1826
1285,944,680
1286,1752,1183
1287,624,920
1288,304,551
1289,215,1777
1290,1700,1725
1291,357,251
1292,2259,67
1293,2237,2218
1294,457,143
1295,167,1670
1296,1760,856
1297,1741,66
1298,1751,1273
1299,1866,249
1300,949,274
1301,2438,1602
1302,2354,704
1303,94,1609
1304,769,864
1305,427,902
1306,750,411
1307,1507,1049
1308,959,1804
1309,2167,1585
1310,186,102
1311,826,562
1312,1136,1148
1313,815,1145
1314,931,38
1315,2381,212
1316,525,639
1317,126,1319
1318,495,1103
1319,1317,444
1320,731,259
1321,2610,1689
1322,877,103
1323,1516,643
1324,1585,748
1325,1758,707
1326,26,1431
1327,1825,1307
1328,2342,1387
1329,979,156
1330,1082,1535
1331,2451,539
1332,2017,19
1333,1740,169
1334,458,2118
1335,911,1709
1336,448,913
1337,14,2106
1338,469,1531
1339,1767,2028
1340,330,456
1341,68,2048
1342,155,659
1343,1611,631
1344,772,962
1345,2313,1771
1346,2234,2168
1347,1173,448
1348,93,1712
1349,766,1135
1350,2206,723
1351,607,13
1352,953,1998
1353,32,944
1354,6,746
1355,1642,2155
1356,89,310
1357,1582,1013
1358,910,1474
1359,1991,2190
1360,1478,1457
1361,1413,682
1362,328,955
1363,681,2073
1364,827,173
1365,1469,465
1366,557,78
1367,2000,1117
1368,131,927
1369,2478,381
1370,2407,113
1371,1852,1441
1372,1819,1834
1373,1019,629
1374,1170,709
1375,1791,60
1376,2337,1830
1377,1069,905
1378,748,618
1379,1493,2251
1380,1319,632
1381,2372,993
1382,1307,1308
1383,1355,1746
1384,198,1220
1385,2091,1772
1386,327,1055
1387,1834,601
1388,864,1222
1389,2347,1335
1390,2269,1365
1391,2542,1212
1392,1165,1137
1393,110,336
1394,2153,730
1395,583,288
1396,1030,1800
1397,2357,188
1398,926,494
1399,1388,763
1400,1943,1781
1401,774,826
1402,1324,1984
1403,615,1417
1404,134,699
1405,1687,525
1406,262,2043
1407,1818,194
1408,308,297
1409,1468,256
1410,481,571
1411,835,1612
1412,185,254
1413,2455,570
1414,486,1910
1415,616,1348
1416,2151,1225
1417,1915,2084
1418,2200,946
1419,1459,1317
1420,1445,141
1421,1854,992
1422,2139,2220
1423,1049,242
1424,654,2292
1425,1947,1779
1426,1729,1150
1427,2236,2060
1428,1272,460
1429,2320,1250
1430,1061,1284
1431,1277,42
1432,898,495
1433,579,331
1434,727,640
1435,1973,1383
1436,513,1717
1437,2292,1818
1438,1426,1727
1439,1075,125
1440,2362,107
1441,1631,1097
1442,2094,1570
1443,1750,1757
1444,2321,1175
1445,384,140
1446,1670,205
1447,103,950
1448,1857,759
1449,136,550
1450,1323,2089
1451,1811,481
1452,1128,134
1453,302,820
1454,1549,1747
1455,2212,277
1456,880,1999
1457,1360,1053
1458,1411,1230
1459,782,1941
1460,1100,2153
1461,611,2092
1462,2309,2179
1463,1398,1996
1464,2152,1166
1465,1149,155
1466,1569,95
1467,1801,1626
1468,896,837
1469,1878,1252
1470,1348,186
1471,2125,1235
1472,2018,1923
1473,2472,1109
1474,107,799
1475,2287,85
1476,1724,1763
1477,2419,1420
1478,1280,1755
1479,1870,1938
1480,684,2070
1481,933,1883
1482,1986,501
1483,937,1550
1484,1843,81
1485,1731,1184
1486,2428,683
1487,1434,1269
1488,1926,1392
1489,1721,2023
1490,1589,691
1491,2518,1413
1492,993,1010
1493,305,772
1494,1251,77
1495,929,2233
1496,345,1556
1497,2136,361
1498,2270,1527
1499,2365,1838
1500,1482,1405
1501,2476,823
1502,352,988
1503,687,1855
1504,494,1492
1505,57,899
1506,392,1768
1507,2184,486
1508,2460,2159
1509,597,1146
1510,362,174
1511,1538,873
1512,599,987
1513,849,717
1514,1739,573
1515,2535,40
1516,1392,708
1517,1988,389
1518,489,1928
1519,452,912
1520,1379,1792
1521,1833,981
1522,2180,852
1523,2571,1161
1524,463,3
1525,1094,876
1526,2376,972
1527,1199,359
1528,1133,1748
1529,1331,1700
1530,2035,612
1531,1329,1872
1532,1529,1656
1533,1081,1980
1534,2607,2293
1535,41,2283
1536,2482,387
1537,1923,1733
1538,2225,1243
1539,706,345
1540,488,2062
1541,2566,1615
1542,1091,1168
1543,758,137
1544,1987,532
1545,141,2201
1546,241,2095
1547,688,1866
1548,144,1961
1549,253,1106
1550,701,789
1551,1596,230
1552,2095,1962
1553,1851,1734
1554,1806,1372
1555,2586,2166
1556,2293,1927
1557,2338,2288
1558,1503,1967
1559,573,1330
1560,1070,1039
1561,1406,1824
1562,1213,1464
1563,1996,2011
1564,1799,1976
1565,2252,1247
1566,1810,1069
1567,828,655
1568,1420,670
1569,1862,854
1570,2443,1784
1571,1131,92
1572,1550,2185
1573,1452,2125
1574,88,652
1575,1115,1425
1576,2202,1324
1577,1014,1624
1578,1018,1295
1579,818,1519
1580,1601,2067
1581,1869,302
1582,1378,101
1583,1995,2137
1584,1118,1205
1585,762,2082
1586,1303,2237
1587,2446,1581
1588,2195,1932
1589,1662,1119
1590,365,2277
1591,1512,1282
1592,816,1707
1593,2507,621
1594,318,2086
1595,1072,945
1596,2241,2228
1597,1552,2075
1598,1607,1607
1599,1576,87
1600,1946,2145
1601,971,1152
1602,1015,1601
1603,1849,2017
1604,434,675
1605,673,1322
1606,1573,350
1607,380,1070
1608,1476,216
1609,2007,1198
1610,1120,1092
1611,2147,1864
1612,1907,1311
1613,1080,320
1614,2396,1682
1615,2345,1819
1616,1757,1476
1617,35,1040
1618,77,1651
1619,1906,1395
1620,590,36
1621,2267,108
1622,634,485
1623,881,467
1624,1798,2182
1625,2204,1249
1626,1364,1338
1627,2005,1382
1628,390,264
1629,1824,32
1630,176,1646
1631,173,1895
1632,2312,487
1633,34,1147
1634,917,1586
1635,187,739
1636,548,1367
1637,2563,2056
1638,462,317
1639,2511,2286
1640,2265,2224
1641,556,711
1642,2121,1893
1643,1332,1841
1644,1249,538
1645,593,1740
1646,161,733
1647,1147,819
1648,2174,1593
1649,248,1708
1650,351,1354
1651,1103,382
1652,1790,706
1653,609,428
1654,2577,930
1655,562,235
1656,614,20
1657,2439,96
1658,2085,816
1659,444,1854
1660,1058,43
1661,2413,2267
1662,2044,129
1663,98,1908
1664,207,1054
1665,840,1766
1666,1340,1228
1667,692,1761
1668,801,908
1669,2317,2061
1670,847,1191
1671,592,1878
1672,796,1331
1673,903,646
1674,293,2127
1675,158,1044
1676,2475,1245
1677,1448,476
1678,1092,1356
1679,2042,333
1680,1696,380
1681,1547,457
1682,49,1913
1683,2179,1254
1684,2379,1037
1685,2077,1532
1686,1684,1381
1687,2523,1376
1688,1084,2033
1689,2033,1090
1690,990,1644
1691,887,2002
1692,208,1018
1693,443,1993
1694,342,2186
1695,52,1680
1696,1578,2001
1697,1533,1640
1698,1250,554
1699,2433,667
1700,1330,2117
1701,805,637
1702,1727,1937
1703,2519,1741
1704,456,941
1705,852,841
1706,356,1052
1707,1059,45
1708,1185,1880
1709,1581,1780
1710,1645,564
1711,2536,337
1712,511,483
1713,2330,1056
1714,2434,615
1715,1134,2026
1716,2565,2039
1717,154,1446
1718,63,809
1719,1896,222
1720,1257,2175
1721,1817,754
1722,922,1316
1723,2449,1551
1724,591,120
1725,1306,2216
1726,1805,1764
1727,934,334
1728,394,98
1729,337,732
1730,965,1861
1731,2403,1296
1732,2502,1278
1733,1559,1723
1734,1871,402
1735,1577,232
1736,2163,747
1737,724,1400
1738,45,413
1739,674,1455
1740,39,914
1741,2596,1681
1742,1769,693
1743,1458,1933
1744,770,1691
1745,1166,1591
1746,2244,2234
1747,1429,250
1748,2249,1828
1749,2406,1083
1750,129,1662
1751,435,840
1752,2305,1279
1753,2009,1271
1754,2123,0
1755,2540,2259
1756,282,1255
1757,729,1021
1758,668,1988
1759,1663,1321
1760,431,1181
1761,343,293
1762,231,1397
1763,1327,540
1764,1874,201
1765,1231,330
1766,1659,1671
1767,1669,839
1768,1265,1603
1769,531,1089
1770,483,977
1771,429,1364
1772,2554,1121
1773,1624,488
1774,831,773
1775,665,2264
1776,1777,79
1777,0,117
1778,2353,1428
1779,1377,518
1780,1850,2225
1781,982,542
1782,2218,351
1783,2004,1736
1784,789,178
1785,723,1560
1786,2013,986
1787,930,770
1788,1766,1011
1789,2561,569
1790,1505,2198
1791,223,2110
1792,1674,466
1793,424,1813
1794,43,672
1795,1012,2167
1796,1463,1597
1797,2500,1541
1798,1284,70
1799,2562,497
1800,83,1454
1801,1328,517
1802,1062,2122
1803,1211,2040
1804,2038,895
1805,773,1678
1806,1453,299
1807,1910,1516
1808,1197,1081
1809,79,1943
1810,503,1339
1811,445,239
1812,2541,119
1813,732,995
1814,712,376
1815,46,592
1816,795,1685
1817,891,88
1818,1889,996
1819,2068,703
1820,546,1874
1821,631,1190
1822,2524,1542
1823,1530,306
1824,2188,768
1825,1309,2263
1826,258,1211
1827,2613,535
1828,2422,1825
