id,https://www.scads.de/movieBenchmark/ontology/primaryProfessions,https://www.scads.de/movieBenchmark/ontology/name,http://dbpedia.org/ontology/birthYear,http://dbpedia.org/ontology/deathYear,entityUrl,https://www.scads.de/movieBenchmark/ontology/isAdult,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/startYear,https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,https://www.scads.de/movieBenchmark/ontology/endYear
42,"production_designer,director,art_director",Boris Blank,1938-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0087476,,,,,,,,,
43,actress,Cheryl Crotser,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1561463,,,,,,,,,
44,"actress,writer,producer",Janet McTeer,1961-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0005216,,,,,,,,,
45,"actor,director,producer",Collin O'Neal,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1661410,,,,,,,,,
46,actress,Pamela Dean,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1483969,,,,,,,,,
47,writer,Robert J. Hogan,1897-01-01,1963-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0389613,,,,,,,,,
48,"producer,director,actor",Alec C. Snowden,1901-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0811344,,,,,,,,,
49,"actress,producer,writer",Ingrid Veninger,1970-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0893116,,,,,,,,,
50,"actress,animation_department,soundtrack",Linda Chung,1984-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2351640,,,,,,,,,
51,"writer,producer,miscellaneous",George W. George,1920-01-01,2007-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0313434,,,,,,,,,
52,writer,Stanford Whitmore,1925-01-01,2014-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0926247,,,,,,,,,
53,"actor,miscellaneous,director",Alan DeWitt,1921-01-01,1976-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0223195,,,,,,,,,
54,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657670,0,"Adventure,Drama,Family",1962-01-01,30,Ede's Bombshell,Ede's Bombshell,25,2,
55,"actress,soundtrack",Grit Boettcher,1938-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0127154,,,,,,,,,
56,"actor,writer,soundtrack",Gene Barry,1919-01-01,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0058001,,,,,,,,,
57,"actress,writer,script_department",Beverly Hayes,1940-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0370904,,,,,,,,,
58,"actor,director,writer",Maximilian Schell,1930-01-01,2014-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001703,,,,,,,,,
59,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630832,0,Drama,1954-01-01,30,Big Little Lie,Big Little Lie,19,1,
60,"actor,sound_department,producer",John Hart,1917-01-01,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0366359,,,,,,,,,
61,"actor,writer,miscellaneous",Jan Merlin,1925-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0581005,,,,,,,,,
62,"actor,producer,director",Don Edmonds,1937-01-01,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0103756,,,,,,,,,
63,actress,Susan Seaforth Hayes,1943-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0371238,,,,,,,,,
64,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505665,0,Adventure,1960-01-01,48,Sink or Swim,Sink or Swim,11,2,
65,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0504571,0,"Comedy,War",1972-01-01,,Folge 4,Folge 4,4,1,
66,"producer,writer,miscellaneous",Matt Witten,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0936976,,,,,,,,,
67,"actress,soundtrack",Ruth Storey,1913-01-01,1997-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0832495,,,,,,,,,
68,actor,Michael Elwyn,1942-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0255914,,,,,,,,,
69,"visual_effects,actor,writer",Doc Hammer,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0358452,,,,,,,,,
70,,Kirt Struemph,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2809560,,,,,,,,,
71,"actress,soundtrack",Gaby Stenberg,1923-01-01,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0826503,,,,,,,,,
72,writer,David Robinson,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0732529,,,,,,,,,
73,"writer,producer,script_department",Tony Morphett,1938-01-01,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0606179,,,,,,,,,
74,,Kevin Carlyon,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2365845,,,,,,,,,
75,actor,Brad Goertz,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9027214,,,,,,,,,
76,"actor,soundtrack",Frank DeKova,1910-01-01,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0215308,,,,,,,,,
77,"director,producer,assistant_director",Daniel Attias,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0003733,,,,,,,,,
78,"actor,soundtrack,music_department",Johnny Crawford,1946-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0186844,,,,,,,,,
79,"cinematographer,director,producer",Alik Sakharov,1959-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002399,,,,,,,,,
80,actor,Whitfield Connor,1916-01-01,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0175472,,,,,,,,,
81,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0520151,0,Adventure,1962-01-01,,The Mask of Talugi,The Mask of Talugi,24,1,
82,"director,producer,miscellaneous",Tucker Gates,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0003163,,,,,,,,,
83,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1640885,0,Comedy,2011-01-01,30,The Hero,The Hero,6,8,
84,actress,Ruth Brady,1920-01-01,1997-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0103719,,,,,,,,,
85,"actor,producer",Hugh Corcoran,1947-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0179328,,,,,,,,,
86,"writer,producer,script_department",Ed Adamson,1915-01-01,1972-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0011482,,,,,,,,,
87,"cinematographer,camera_department,editor",Ben Cole,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3144460,,,,,,,,,
88,actress,June Kenney,1933-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0448483,,,,,,,,,
89,"writer,director,cinematographer",Mariano Lisa,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0513951,,,,,,,,,
90,"director,producer,actor",Charles F. Haas,1913-01-01,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0351918,,,,,,,,,
91,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505628,0,Adventure,1961-01-01,60,Adam San,Adam San,29,2,
92,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt3001926,0,Drama,2014-01-01,50,Chapter 18,Chapter 18,5,2,
93,"production_manager,producer,miscellaneous",John London,1912-01-01,2002-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm1401324,,,,,,,,,
94,actress,Jacqueline deWit,1912-01-01,1998-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0223190,,,,,,,,,
95,"actor,soundtrack",J. Pat O'Malley,1904-01-01,1985-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0641729,,,,,,,,,
96,"editor,sound_department,composer",Joe Walker,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0907863,,,,,,,,,
97,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1110878,0,Drama,1999-01-01,21,Episode #2.4,Episode #2.4,4,2,
98,"actor,soundtrack,miscellaneous",Dick Balduzzi,1928-01-01,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0049845,,,,,,,,,
99,actor,Heinz Klevenow,1908-01-01,1975-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0459374,,,,,,,,,
100,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630967,0,Drama,1953-01-01,30,Thanksgiving in Beaver Run,Thanksgiving in Beaver Run,10,1,
101,actor,Norman Ollestad,1935-01-01,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0647322,,,,,,,,,
102,"actress,soundtrack",Cloris Leachman,1926-01-01,2021-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001458,,,,,,,,,
103,"actress,soundtrack",Merry Anders,1934-01-01,2012-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0026039,,,,,,,,,
104,actor,Charles G. Martin,1912-01-01,1998-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0552064,,,,,,,,,
105,actor,Guy Lee,1927-01-01,1993-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0497343,,,,,,,,,
106,"director,actor,writer",Jürgen Goslar,1927-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0331495,,,,,,,,,
107,actor,James Bulliard,1978-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0007051,,,,,,,,,
108,"actress,soundtrack",Sally Blane,1910-01-01,1997-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0087434,,,,,,,,,
109,actor,Samir,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4866699,,,,,,,,,
110,"actor,producer",Delroy Brown,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2478333,,,,,,,,,
111,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1116560,0,Drama,2007-01-01,60,Rain Shadow,Rain Shadow,,,2007-01-01
112,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505660,0,Adventure,1959-01-01,60,Peril at Pitcairn,Peril at Pitcairn,9,1,
113,"actor,miscellaneous",Philip Akin,1950-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0015370,,,,,,,,,
114,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0759972,0,Adventure,1961-01-01,60,Appointment at Tara-Bi,Appointment at Tara-Bi,1,3,
115,"actor,soundtrack,music_department",Charles Napier,1936-01-01,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0621008,,,,,,,,,
116,"actress,soundtrack",Nancy Gates,1926-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0309607,,,,,,,,,
117,actor,Paul Haddad,1963-01-01,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0352664,,,,,,,,,
118,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0883894,0,"Animation,Comedy,Fantasy",1994-01-01,21,Uncle Harry's Horrible House of Horrors,Uncle Harry's Horrible House of Horrors,10,2,
119,"producer,writer",Jason Horwitch,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0395842,,,,,,,,,
120,"actor,miscellaneous",Dipankar Dey,1944-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0212541,,,,,,,,,
121,actor,Harry Arnie,1907-01-01,1984-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0036299,,,,,,,,,
122,actor,Paul Harvey,1882-01-01,1955-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0367670,,,,,,,,,
123,"actor,miscellaneous,soundtrack",Fritz Feld,1900-01-01,1993-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0270915,,,,,,,,,
124,actress,Sari Mordana,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2998868,,,,,,,,,
125,"actress,soundtrack",Fay Bainter,1893-01-01,1968-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0047810,,,,,,,,,
126,"actress,soundtrack",Verónica Sánchez,1977-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0845189,,,,,,,,,
127,"director,writer,actor",Nick Gomez,1963-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0327064,,,,,,,,,
128,,Tom Dyer,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4232071,,,,,,,,,
129,writer,Bernard Cornwell,1944-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0180486,,,,,,,,,
130,actor,Walter Brooke,1914-01-01,1986-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0111754,,,,,,,,,
131,actress,Candy Moore,1947-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0600993,,,,,,,,,
132,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2404521,0,"Documentary,History,War",2005-01-01,56,"Le 8 mai 1945, la capitulation","Le 8 mai 1945, la capitulation",,,
133,actor,John Allegra,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7660728,,,,,,,,,
134,"director,writer,soundtrack",Ami Canaan Mann,1969-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0542642,,,,,,,,,
135,"actor,director,writer",Christopher Redman,1980-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0714992,,,,,,,,,
136,"director,actor,writer",Helmut Weiss,1907-01-01,1969-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0919012,,,,,,,,,
137,actor,Naaman Brown,1916-01-01,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0114326,,,,,,,,,
138,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505623,0,Adventure,1962-01-01,48,A Bride for the Captain,A Bride for the Captain,23,3,
139,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604426,0,"Crime,Drama,Mystery",1996-01-01,,The Damage Done,The Damage Done,20,4,
140,"miscellaneous,editor,producer",Hugo Grimaldi,1912-01-01,1998-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0342120,,,,,,,,,
141,actor,Willis Bouchey,1907-01-01,1977-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0099071,,,,,,,,,
142,actress,Kristina Lilley,1963-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0510355,,,,,,,,,
143,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630962,0,Drama,1956-01-01,30,Take Care of My Child,Take Care of My Child,11,4,
144,"actor,soundtrack,writer",Jean-Marc Thibault,1923-01-01,2017-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0857776,,,,,,,,,
145,actress,Sermin Hürmeriç,1947-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0784039,,,,,,,,,
146,actor,Roger Til,1909-01-01,2002-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0863179,,,,,,,,,
147,"actor,miscellaneous",Ori Pfeffer,1975-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1035854,,,,,,,,,
148,actress,Gertrude Flynn,1909-01-01,1996-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0283456,,,,,,,,,
149,actor,George Buza,1949-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0125579,,,,,,,,,
150,actress,Rose Barbato,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0053284,,,,,,,,,
151,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551405,0,Comedy,2001-01-01,30,The Car Salesman,The Car Salesman,1,2,
152,"actress,miscellaneous",Gloria Vanderbilt,1924-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0888742,,,,,,,,,
153,"actor,camera_department",Robert Dowdell,1932-01-01,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0235703,,,,,,,,,
154,actor,Yan Tual,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5565659,,,,,,,,,
155,writer,Walter Rathgeber,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2228424,,,,,,,,,
156,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630925,0,Drama,1960-01-01,30,Off-Duty Affair,Off-Duty Affair,16,7,
157,"writer,actor,producer",Bob Einstein,1942-01-01,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0251872,,,,,,,,,
158,actress,Valentina Cardinalli,1975-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0136520,,,,,,,,,
159,"writer,cinematographer,director",Ivica Matic,1948-01-01,1976-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0559039,,,,,,,,,
160,"actor,art_department",Justin Brady,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0103659,,,,,,,,,
161,"director,writer,producer",James Foley,1953-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001226,,,,,,,,,
162,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0829714,0,Reality-TV,2006-01-01,,Super Dirty,Super Dirty,2,2,
163,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0726137,0,"Crime,Drama",1974-01-01,60,Joey the Weep,Joey the Weep,16,1,
164,"actress,soundtrack",Susan Hampshire,1937-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0358925,,,,,,,,,
165,writer,Audrey Lives,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0991369,,,,,,,,,
166,editor,Natalya Loginova,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0517747,,,,,,,,,
167,"music_department,composer,producer",Ray Loring,1943-01-01,2008-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0521019,,,,,,,,,
168,"actor,writer,producer",Richard Lewis,1947-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0507659,,,,,,,,,
169,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1502370,0,"Documentary,Music",2009-01-01,,Katy Perry,Katy Perry,2,20,
170,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604421,0,"Crime,Drama,Mystery",1993-01-01,,Son of a Gun,Son of a Gun,3,1,
171,"director,producer,editor",Misha Manson-Smith,1973-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1245204,,,,,,,,,
172,"writer,miscellaneous",Patricia Falken Smith,1926-01-01,2001-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0989955,,,,,,,,,
173,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551387,0,Comedy,2000-01-01,29,Interior Decorator,Interior Decorator,5,1,
174,"producer,writer",Matthew Rapf,1920-01-01,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0710682,,,,,,,,,
175,actor,Liam Barr,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1063229,,,,,,,,,
176,"actor,soundtrack,music_department",Tom Clancy,1923-01-01,1990-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0163390,,,,,,,,,
177,"director,actor,writer",Wolfgang Liebeneiner,1905-01-01,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0509327,,,,,,,,,
178,"production_designer,art_department,art_director",Michael Whetstone,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0924115,,,,,,,,,
179,actor,Joey Scott,1953-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0779345,,,,,,,,,
180,"producer,director,writer",Cary Joji Fukunaga,1977-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1560977,,,,,,,,,
181,actor,Wright King,1923-01-01,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0455389,,,,,,,,,
182,actor,John Van Dreelen,1922-01-01,1992-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0886657,,,,,,,,,
183,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0829696,0,Reality-TV,2005-01-01,44,Chick Sexer,Chick Sexer,4,1,
184,"producer,writer,director",Patrick Loubert,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0521621,,,,,,,,,
185,,Billy Bretherton,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3091480,,,,,,,,,
186,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2582590,0,Comedy,2013-01-01,23,Vicious,Vicious,,,2016-01-01
187,"actress,soundtrack",Jayne Eastwood,1946-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0247720,,,,,,,,,
188,"director,writer,actor",Helmut Käutner,1908-01-01,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0477702,,,,,,,,,
189,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt7320860,0,"Crime,Drama,Mystery",2019-01-01,58,Kiss Tomorrow Goodbye,Kiss Tomorrow Goodbye,2,3,
190,actor,Mike Grimmer,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3097682,,,,,,,,,
