id,https://www.scads.de/movieBenchmark/ontology/name,http://xmlns.com/foaf/0.1/gender,entityUrl,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/release_year,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/releaseDate,http://dbpedia.org/ontology/seasonNumber,http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/company_type,https://www.scads.de/movieBenchmark/ontology/origin_country,https://www.scads.de/movieBenchmark/ontology/known_for_department,https://www.scads.de/movieBenchmark/ontology/in_production,https://www.scads.de/movieBenchmark/ontology/last_air_date,https://www.scads.de/movieBenchmark/ontology/original_language,https://www.scads.de/movieBenchmark/ontology/languages,https://www.scads.de/movieBenchmark/ontology/status,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://xmlns.com/foaf/0.1/homepage,http://dbpedia.org/ontology/numberOfEpisodes,http://dbpedia.org/ontology/numberOfSeasons,http://dbpedia.org/ontology/runtime,http://dbpedia.org/ontology/budget,https://www.scads.de/movieBenchmark/ontology/revenue,https://www.scads.de/movieBenchmark/ontology/production_countries,https://www.scads.de/movieBenchmark/ontology/spoken_languages,http://dbpedia.org/ontology/birthDate,https://www.scads.de/movieBenchmark/ontology/birthPlace,https://www.scads.de/movieBenchmark/ontology/tagline,https://www.scads.de/movieBenchmark/ontology/also_known_as
34,Nobuyoshi Nagayama,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1481792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1509320,Best Bike in the World,2016-01-01,14,2016-07-07,1,"Stan and Violet get Monty a new bike, but Monty is disappointed to learn that this means his first, smaller bike will be passed on to someone else who can use it. He wonders why it is that you have to let go of your favourite things when you outgrow them.",,,,,,,,,,,,,,,,,,,,,,
36,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode199011,Floating Fish Factory,2008-01-01,8,2008-04-21,4,Mike travels to Alaska for an adventure aboard a fish processing ship.,,,,,,,,,,,,,,,,,,,,,,
37,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694603,Tightwad Millionaire,1956-01-01,24,1956-02-19,3,,,,,,,,,,,,,,,,,,,,,,,
38,Pierre Davoust,0,https://www.scads.de/movieBenchmark/resource/TMDB/person9760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694413,Let Columbus Discover You,1955-01-01,31,1955-04-03,2,,,,,,,,,,,,,,,,,,,,,,,
40,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode565580,The Spear Gun,1957-01-01,3,1957-10-10,1,,,,,,,,,,,,,,,,,,,,,,,
41,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463097,A Bride for the Captain,1962-01-01,23,1962-03-11,3,,,,,,,,,,,,,,,,,,,,,,,
42,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198989,Leather Tanner,2007-01-01,11,2007-07-17,3,Mike goes to Georgia to learn how to make artistic jugs. He then joins Richard Meyer and his sons in upstate New York to learn the ancient trade of tanning leather.,,,,,,,,,,,,,,,,,,,,,,
43,Miles Mander,2,https://www.scads.de/movieBenchmark/resource/TMDB/person19329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Michael Lai Siu-Tin,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1178936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Barbara Kopple,1,https://www.scads.de/movieBenchmark/resource/TMDB/person22020,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
46,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506595,Ede's Bombshell,1962-01-01,25,1962-03-26,2,,,,,,,,,,,,,,,,,,,,,,,
47,Jordi Bosch,2,https://www.scads.de/movieBenchmark/resource/TMDB/person43329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sylvia Pyke,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2153679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694585,Father Hoppe,1956-01-01,26,1956-03-04,3,,,,,,,,,,,,,,,,,,,,,,,
50,John L'Ecuyer,2,https://www.scads.de/movieBenchmark/resource/TMDB/person159767,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
51,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694395,Our Sacred Honor,1954-01-01,13,1954-11-28,2,,,,,,,,,,,,,,,,,,,,,,,
52,John Hughes,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1857411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries70115,The Price,2016-01-01,,2016-11-18,,"Based on a novel by Jun Ioka, the Hulu series follows the relationship between Keisuke Okuyama, a brilliant attorney and his troubling client Tatsuya Ando who tormented and robbed him of his family in the past.",,JP,,false,2016-11-18,ja,ja,Ended,Drama,代償,http://drama-daisho.com/,6,1,,,,,,,,,
54,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode933368,Eukaryopolis - The City of Animal Cells,2012-01-01,4,2012-02-20,1,Hank tells us about the city of Eukaryopolis - the animal cell that is responsible for all the cool things that happen in our bodies.,,,,,,,,,,,,,,,,,,,,,,
55,Kane Gilliam,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2191458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1243770,From Phuket to Africa!,2016-01-01,1,2016-02-19,4,"Producer Na Young Seok goes to Phuket where the cast of “Reply 1988” is having a celebratory vacation. And he makes a prank on Jun Yeol, Jae Hong and Kyung Pyo and takes them to Africa to shoot “Youth Over Flowers in Africa”. Bo Gum who had to return from the vacation to Korea for a music show filming also joins the trip. The young actors manage to arrive in Namibia with few clothes, and they need to deal with many things from booking hotels, hiring a car, exchanging money to planning their journey.",,,,,,,,,,,,,,,,,,,,,,
57,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode389921,Dark,2010-01-01,9,2010-01-23,2,"Richard learns to use his wizard powers by the Sisters of the Light, while Zedd must name a new Seeker when Sister Nicci reveals a shocking secret.",,,,,,,,,,,,,,,,,,,,,,
58,Clayton H. Baker,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2218318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Bernard Grenet,2,https://www.scads.de/movieBenchmark/resource/TMDB/person8389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1185179,La Paliza de el Metido,1999-01-01,21,1999-05-27,6,,,,,,,,,,,,,,,,,,,,,,,
61,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463110,The Intruders,1960-01-01,2,1960-10-10,2,,,,,,,,,,,,,,,,,,,,,,,
62,Jessie Nelson,1,https://www.scads.de/movieBenchmark/resource/TMDB/person16853,,,,,,,,,Production,,,,,,,,,,,,,,,,,,,
63,Tom Bullock,0,https://www.scads.de/movieBenchmark/resource/TMDB/person552445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries41781,The Adventures of the Good Soldier Schwejk,1972-01-01,,1972-02-06,,"'Die Abenteuer des braven Soldaten Schwejk is an Austrian television series.Schwejk is a bumbling fool (he claims to have been discharged from the army on the grounds of being a certified idiot) but manages to outwit his superiors and his arch nemesis, the secret policeman ''Bretschneider'' with hilarious results. Set during the first world war, it follow Schwejks adventures as a recruit in the Austro-Hungarian army.",,"DE, AT",,false,1972-03-20,de,de,Ended,Comedy,Die Abenteuer des braven Soldaten Schwejk,,13,1,60,,,,,,,,
65,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506558,The Calf,1961-01-01,20,1961-01-29,1,,,,,,,,,,,,,,,,,,,,,,,
66,Santi Ricart,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1460130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode548642,Episode 12,2009-01-01,12,2009-02-10,1,"Jeha kidnaps Jandi and Junpyo goes to rescue her alone. Jeha and his friends beat Junpyo, but Junpyo bears it. F4 members get into the scene, finish off the situation. When Jeha tries to hit Junpyo again, Jandi protects him. The two are hospitalized, but find out the feeling for each other again. The friends go on a ski trip together, and Junpyo gives Jandi a custom-made necklace. However, Jandi accidently loses it and braves the snowstorm to look for it.",,,,,,,,,,,,,,,,,,,,,,
68,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode907796,Suruga Monkey (3),2009-01-01,8,2009-08-28,1,"Koyomi takes Suruga to see Oshino in order to help her. However, the help he offers isn't the help Koyomi wanted...",,,,,,,,,,,,,,,,,,,,,,
69,Gina Chen Jin,1,https://www.scads.de/movieBenchmark/resource/TMDB/person1541648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Tae Hang-ho,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1676562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1439861,U-N– UNFORGETTABLE P-A– PAIN,2018-01-01,15,2018-03-07,2,"Ray is miserable after breaking up with Taylor. When Maya cheers him up with a day out, Ray has a plan of his own. Meanwhile, JJ is nervous about his first friend date with Aaron, so Dylan offers to make sure everything goes smoothly; however, it’s everything but smooth. And Kenneth teaches Jimmy how to be the one in charge at home.",,,,,,,,,,,,,,,,,,,,,,
72,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694548,Something Always Happens,1954-01-01,35,1954-05-23,1,,,,,,,,,,,,,,,,,,,,,,,
73,Sayid,0,https://www.scads.de/movieBenchmark/resource/TMDB/person144204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Lila Lakshmanan,0,https://www.scads.de/movieBenchmark/resource/TMDB/person3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Mel Mendoza-Del Rosario,0,https://www.scads.de/movieBenchmark/resource/TMDB/person113270,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
76,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode324253,The Hero,2011-01-01,6,2011-08-14,8,Larry plays the hero in the sky and underground; Jeff’s courtship of Ricky Gervais is sabotaged by a nosy waiter.,,,,,,,,,,,,,,,,,,,,,,
77,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie308552,Gekashitsu,1992-01-01,,1992-02-08,,Melodrama about a woman refusing surgery.,,,,,,en,,Released,Drama,Gekashitsu,,,,50,0,0,Japan,,,,,
78,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463092,The Trial of Adam Troy,1961-01-01,11,1961-12-17,3,"After a murder on the Tiki occurs, Adam is wrongfully accused of the crime and the passengers are asked for their testimonies at his trial.",,,,,,,,,,,,,,,,,,,,,,
79,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198984,Wine Maker,2007-01-01,7,2007-03-06,3,Mike first heads off to Napa Valley to learn how to make wine. Mike then gets dirty at a Kansas Cattle Ranch learning about the cattle business.,,,,,,,,,,,,,,,,,,,,,,
80,,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries4464,Homicide: Life on the Street,1993-01-01,,1993-01-31,,"'Homicide: Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit. It ran for seven seasons on NBC from 1993 to 1999, and was succeeded by a TV movie, which also acted as the de facto series finale. The series was originally based on David Simon's book Homicide: A Year on the Killing Streets. Many of the characters and stories used throughout the show were based on events depicted in the book, which was also part of the basis for Simon's own series, The Wire on HBO.Although Homicide featured an ensemble cast, Andre Braugher emerged as the series' breakout star through his portrayal of Frank Pembleton. The show won Television Critics Association Awards for Outstanding Achievement in Drama in 1996, 1997, and 1998. It also became the first drama ever to win three Peabody Awards for best drama in 1993, 1995, and 1997. In 1997, the episode ''Prison Riot'' was ranked No. 32 on TV Guide's 100 Greatest Episodes of All Time. In 2007, it was listed as one of Time magazine's ''Best TV Shows of All-TIME.'' In 1996 TV Guide named the series 'The Best Show You're Not Watching'. The show placed #46 on Entertainment Weekly's ''New TV Classics'' list.",,US,,false,1999-05-21,en,en,Ended,Mystery,Homicide: Life on the Street,,122,7,45,,,,,,,,
81,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode382817,殷紅詐病　爭取原諒,,18,,1,,,,,,,,,,,,,,,,,,,,,,,
82,Stepan Bubnov,2,https://www.scads.de/movieBenchmark/resource/TMDB/person229736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Stephen Gyllenhaal,0,https://www.scads.de/movieBenchmark/resource/TMDB/person15912,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
84,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1656867,Episode 11,1971-01-01,11,1971-11-21,1,,,,,,,,,,,,,,,,,,,,,,,
85,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1298617,Episode 11,1972-01-01,11,1972-03-10,1,,,,,,,,,,,,,,,,,,,,,,,
86,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506590,The Feud,1962-01-01,20,1962-02-19,2,,,,,,,,,,,,,,,,,,,,,,,
87,Jimmy Sharp,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1898866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Gaetano Grimaldi Filioli,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1314137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1176901,A Party for Tarzan,2016-01-01,7,2016-03-14,6,"In a case of mistaken identity, the Guild targets Dr. Venture for assassination, pooping his party for a fancy new friend.",,,,,,,,,,,,,,,,,,,,,,
90,Samandar Rzayev,2,https://www.scads.de/movieBenchmark/resource/TMDB/person2042437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,David Lau,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1346976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694580,Reunion,1955-01-01,3,1955-09-11,3,,,,,,,,,,,,,,,,,,,,,,,
93,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1167527,Rapacity In Blue,2016-01-01,4,2016-02-22,6,A super villain launches an assault on the Ventures and Doc's latest invention or a blue vigilante may save the day.,,,,,,,,,,,,,,,,,,,,,,
94,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1281785,Getting Risky,2017-01-01,8,2017-03-07,4,Mary Jane and Justin go rogue to chase a story as Mary Jane frets about meeting Lee's baby momma.,,,,,,,,,,,,,,,,,,,,,,
95,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694390,"On Your Honor, Your Honor",1954-01-01,8,1954-10-17,2,,,,,,,,,,,,,,,,,,,,,,,
96,,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries58938,Docventures,2013-01-01,,2013-08-28,,'Documents about the surrounding world and Interesting conversation with experts about documentary subjects. Your hosts: Riku Rantala and Tunna Milonoff. Welcome to the journey!,,FI,,true,2016-10-12,fi,fi,Returning Series,Documentary,Docventures,http://yle.fi/aihe/docventures,31,4,58,,,,,,,,
97,Bill Smitrovich,2,https://www.scads.de/movieBenchmark/resource/TMDB/person17200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode907759,[43] Otorimonogatari [3] Nadeko Medusa - Part 3,2013-01-01,12,2013-10-06,3,"Nadeko spent the evening at the Araragi residence after Koyomi mistakes her for running away from home and takes her back to his place. The next morning, she talks to Koyomi's younger sister Tsukihi, a friend from back in grade school.",,,,,,,,,,,,,,,,,,,,,,
99,Yoshitaka Nagaoka,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1481750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Diane Boehme,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1313785,,,,,,,,,Production,,,,,,,,,,,,,,,,,,,
101,Zoran Sruk,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2211436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Anna Pinnock,1,https://www.scads.de/movieBenchmark/resource/TMDB/person8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Christoffer Hjalmarsson,2,https://www.scads.de/movieBenchmark/resource/TMDB/person2191073,,,,,,,,,Creator,,,,,,,,,,,,,,,,,,,
104,Yukari Fukui,0,https://www.scads.de/movieBenchmark/resource/TMDB/person90136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Jang Hyuk,2,https://www.scads.de/movieBenchmark/resource/TMDB/person63438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198947,Dirtiest Water Jobs,2005-01-01,18,2005-12-20,1,,,,,,,,,,,,,,,,,,,,,,,
107,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1185174,Los Niños Honestos,1999-01-01,16,1999-04-22,6,,,,,,,,,,,,,,,,,,,,,,,
108,Donatas Banionis,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1190206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1382535,Episode 19,2017-01-01,19,2017-08-14,2,,,,,,,,,,,,,,,,,,,,,,,
110,,,https://www.scads.de/movieBenchmark/resource/TMDB/movie459719,Thondimuthalum Driksakshiyum,2017-01-01,,2017-06-30,,Prasad and Sreeja are a couple planning to set up a new life in Kasargod. On a bus journey they end up being robbed by a thief also named Prasad and this lands them up in a police station.,,,,,,ml,,Released, Thriller,തൊണ്ടിമുതലും ദൃക്സാക്ഷിയും,,,,136,0,0,India,"?????, ",,,,
111,Maria Hofstätter,1,https://www.scads.de/movieBenchmark/resource/TMDB/person40525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Stanislaw Mucha,2,https://www.scads.de/movieBenchmark/resource/TMDB/person46258,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
113,Teddy Productions,,https://www.scads.de/movieBenchmark/resource/TMDB/company89863,,,,,,,productionCompany,,,,,,,,,,,,,,,,,,,,,
114,Thomas Stipsits,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1041602,,,,,,,,,Acting,,,,,,,,,,,,,,,,,,,
115,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506553,The Quarrel,1960-01-01,15,1960-12-25,1,,,,,,,,,,,,,,,,,,,,,,,
116,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode199141,Deadly Snake Wrangler,2012-01-01,2,2012-08-29,9,"'In Australia, Mike Rowe teams up with local business ''Snakes Away'' to capture a poisonous Eastern brown snake without getting bitten, then joins a posse of local ''toadbusters'' in their war against the cane toad, a non-indigenous species destroying the local ecosystem.",,,,,,,,,,,,,,,,,,,,,,
