id,venue,year,authors,title,entityUrl
101,SIGMOD Conference,1999,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",An Adaptive Query Execution System for Data Integration,conf/sigmod/IvesFFLW99
102,VLDB,2001,Pierre-Paul Sondag,The Semantic Web Paving the Way to the Knowledge Society,conf/vldb/Sondag01
103,VLDB,1997,"Rakesh Agrawal, John C. Shafer",Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,conf/vldb/ShaferA97
104,ACM Trans. Database Syst.,2003,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",Path sharing and predicate evaluation for high-performance XML filtering,journals/tods/DiaoAFZF03
105,SIGMOD Conference,2003,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",Processing Set Expressions over Continuous Update Streams,conf/sigmod/GangulyGR03
106,VLDB,1999,Theodore Johnson,Performance Measurements of Compressed Bitmap Indices,conf/vldb/Johnson99
107,VLDB,1999,"Chee Yong Chan, Yannis E. Ioannidis",Hierarchical Prefix Cubes for Range-Sum Queries,conf/vldb/ChanI99
108,ACM Trans. Database Syst.,2003,"�sa Hagstr�m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",Removing permissions in the flexible authorization framework,journals/tods/WijesekeraJPH03
109,SIGMOD Conference,1998,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, Jos� Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",ARIADNE: A System for Constructing Mediators for Internet Sources,conf/sigmod/AmbiteABKMMMPT98
110,ACM Trans. Database Syst.,2001,"Dimitris Papadias, Nikos Mamoulis",Multiway spatial joins,journals/tods/MamoulisP01
111,SIGMOD Conference,1996,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",Implementing Data Cubes Efficiently,conf/sigmod/HarinarayanRU96
112,SIGMOD Record,1994,"Nelson Mendon�a Mattos, Linda G. DeMichiel",Recent Design Trade-offs in SQL3,journals/sigmod/MattosD94
113,SIGMOD Record,1999,"Andrew Eisenberg, Jim Melton",SQLJ-Part 1: SQL Routines Using the Java Programming Language,journals/sigmod/EisenbergM99a
114,SIGMOD Conference,1997,"Alberto O. Mendelzon, Davood Rafiei",Similarity-Based Queries for Time Series Data,conf/sigmod/RafieiM97
115,SIGMOD Record,1999,"Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani","A Distributed Scientific Data Archive Using the Web, XML and SQL/MED",journals/sigmod/PapianiWDN99
116,VLDB,2002,"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag",Viator - A Tool Family for Graphical Networking and Data View Creation,conf/vldb/HeymannTKWRMF02
117,SIGMOD Record,2001,H. V. Jagadish,Information Warfare and Security - Book Review,journals/sigmod/Jagadish01
118,VLDB,1999,Kjetil N�rv�g,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,conf/vldb/Norvag99
119,VLDB,1995,"Christos Faloutsos, Alberto Belussi",Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,conf/vldb/BelussiF95
120,VLDB J.,1999,"Dennis McLeod, Goksel Aslan",Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,journals/vldb/AslanM99
121,SIGMOD Record,1994,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",Performance Evaluation of a New Distributed Deadlock Detection Algorithm,journals/sigmod/YeungHL94
122,SIGMOD Record,2001,"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski",SQL and Management of External Data,journals/sigmod/MeltonMJKSZ01
123,VLDB,2003,"Alberto Lerner, Dennis Shasha","AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments",conf/vldb/LernerS03
124,VLDB,1997,"Banu �zden, Minos N. Garofalakis, Abraham Silberschatz",Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,conf/vldb/GarofalakisOS97
125,SIGMOD Conference,2001,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",REVIEW: A Real Time Virtual Walkthrough System,conf/sigmod/ShouCTRH01
126,ACM Trans. Database Syst.,1994,"Norman S. Matloff, Patrick Tendick",A Modified Random Perturbation Method for Database Security,journals/tods/TendickM94
127,SIGMOD Conference,1999,Dan Suciu,Managing Web Data,conf/sigmod/Suciu99
128,VLDB,1996,Vijay V. Raghavan,Loading the Data Warehouse Across Various Parallel Architectures,conf/vldb/Raghavan96
129,SIGMOD Record,1995,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,journals/sigmod/KarlapalemLS95
130,VLDB,2002,"Philippe Bonnet, Dennis Shasha","Database Tuning: Principles, Experiments, and Troubleshooting Techniques",conf/vldb/ShashaB02
131,SIGMOD Record,2003,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",Reminiscences an Influential Papers,journals/sigmod/RossGN03
132,SIGMOD Record,1995,Jian Zhang,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,journals/sigmod/Zhang95
133,SIGMOD Conference,1998,"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",Java and Relational Databases: SQLJ (Tutorial),conf/sigmod/ClossmanSHKPB98
134,SIGMOD Conference,2002,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",Covering indexes for branching path queries,conf/sigmod/KaushikBNK02
135,SIGMOD Conference,1995,"Wen-Syan Li, Chris Clifton",Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,conf/sigmod/LiC95
136,SIGMOD Record,2001,"Alexandros Labrinidis, Alberto O. Mendelzon",Career-Enhancing Services at SIGMOD Online,journals/sigmod/LabrinidisM01
137,SIGMOD Conference,1997,"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta",Revisiting Commit Processing in Distributed Database Systems,conf/sigmod/GuptaHR97
138,ACM Trans. Database Syst.,1999,Suad Alagic,Type-Checking OQL Queries In the ODMG Type Systems,journals/tods/Alagic99
139,SIGMOD Conference,1995,Rob Golding,Things Every Update Replication Customer Should Know,conf/sigmod/Golding95
140,SIGMOD Record,2003,Bj�rn ��r J�nsson,In Memory of G�sli R. Hjaltason,journals/sigmod/Jonsson03
141,VLDB,1994,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",Query Optimization by Predicate Move-Around,conf/vldb/LevyMS94
142,SIGMOD Conference,1998,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",Catching the Boat with Strudel: Experiences with a Web-Site Management System,conf/sigmod/FernandezFKLS98
143,SIGMOD Conference,2001,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",Adaptable Query Optimization and Evaluation in Temporal Middleware,conf/sigmod/SlivinskasJS01
144,SIGMOD Conference,1996,"Raghu Ramakrishnan, Miron Livny, Tian Zhang",BIRCH: An Efficient Data Clustering Method for Very Large Databases,conf/sigmod/ZhangRL96
145,SIGMOD Conference,2002,"Dimitris Papadias, Yufei Tao",Time-parameterized queries in spatio-temporal databases,conf/sigmod/TaoP02
146,SIGMOD Conference,1997,"Eui-Hong Han, Vipin Kumar, George Karypis",Scalable Parallel Data Mining for Association Rules,conf/sigmod/HanKK97
147,ACM Trans. Database Syst.,2000,"Jennifer Widom, Elena Baralis",An algebraic approach to static analysis of active database rules,journals/tods/BaralisW00
148,VLDB,1995,"Sorana Rabinovici, John Catozzi",OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,conf/vldb/CatozziR95
149,SIGMOD Conference,2002,"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos",Dwarf: shrinking the PetaCube,conf/sigmod/SismanisDRK02
150,SIGMOD Conference,1996,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",Thinksheet: A Tool for Tailoring Complex Documents,conf/sigmod/PiatkoYLS96
151,SIGMOD Conference,1996,"Betty Salzberg, Chendong Zou",On-line Reorganization of Sparsely-populated B+trees,conf/sigmod/ZouS96
152,SIGMOD Conference,2000,Andreas Weininger,Handling Very Large Databases with Informix Extended Parallel Server,conf/sigmod/Weininger00
153,VLDB,1994,"Surajit Chaudhuri, Kyuseok Shim",Including Group-By in Query Optimization,conf/vldb/ChaudhuriS94
154,VLDB,1995,"Azer Bestavros, Spyridon Braoudakis",Value-cognizant Speculative Concurrency Control,conf/vldb/BestavrosB95
155,SIGMOD Record,2002,James Geller,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,journals/sigmod/Geller02
156,SIGMOD Record,2001,"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),journals/sigmod/LenzeriniNNS01
157,SIGMOD Conference,1997,"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),conf/sigmod/GravanoCGP97
158,VLDB,1996,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",The X-tree : An Index Structure for High-Dimensional Data,conf/vldb/BerchtoldKK96
159,VLDB,2002,"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri",Eliminating Fuzzy Duplicates in Data Warehouses,conf/vldb/AnanthakrishnaCG02
160,VLDB,2003,"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten",A Database Striptease or How to Manage Your Personal Databases,conf/vldb/KerstenWFKBC03
161,SIGMOD Conference,2002,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,conf/sigmod/DogacTPPLKTK02
162,SIGMOD Record,1995,Michael H. B�hlen,Temporal Database System Implementations,journals/sigmod/Bohlen95
163,VLDB,2003,"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou",XSEarch: A Semantic Search Engine for XML,conf/vldb/CohenMKS03
164,VLDB,1995,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",OPOSSUM: Desk-Top Schema Management through Customizable Visualization,conf/vldb/HaberIL95
165,ACM Trans. Database Syst.,2002,"Hans-J�rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",Atomicity and isolation for transactional processes,journals/tods/SchuldtABS02
166,SIGMOD Conference,1999,"David B. Lomet, Mark R. Tuttle",Logical Logging to Extend Recovery to New Domains,conf/sigmod/LometT99
167,SIGMOD Conference,1994,"Jacek Skowronek, Maurice van Keulen, Jan Flokstra",The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,conf/sigmod/FlokstraKS94
168,SIGMOD Conference,1997,"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein",Online Aggregation,conf/sigmod/HellersteinHW97
169,SIGMOD Conference,1996,"Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook","Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases",conf/sigmod/CookKWZ96
170,VLDB,1998,Ted Mihalisin,A Single Pass Computing Engine for Interactive Analysis of VLDBs,conf/vldb/Mihalisin98
